Addressing Mode,Assembly Syntax,Encoding
IR,"LD EPU, @Rs, #n",00001111_Rsnz_01xx
DA,"LD EPU, address, #n",01001111_0000_01xx
X,"LD EPU, addr(Rs), #n",01001111_Rsnz_01xx
R,"LDB FCW, EPU",10001110_xxxx_00xx
R,"LDB EPU, FCW",10001110_xxxx_10xx
R,EPUI #n,10001110_xxxx_01xx
-,"LD @Rd, EPU",00001111_Rdnz_11xx
-,"LD address, EPU",01001111_0000_11xx
-,"LD addr(Rd), EPU",01001111_Rdnz_11xx
-,"LD EPU, @Rs",00001111_Rsnz_01xx
-,"LD EPU, address",01001111_0000_01xx
-,"LD EPU, addr(Rs)",01001111_Rsnz_01xx
-,"LD Rd, EPU",10001111_0xxx_00xx
-,"LD EPU, Rs",10001111_0xxx_10xx
-,"LD FCW, EPU",10001110_xxxx_00xx
-,"LD EPU, FCW",10001110_xxxx_10xx
-,EPUI,10001110_xxxx_01xx
